stcov,estmethod,covparam,lowq,q1,median_result,mean_result,q3,highq
productsum,reml,s_de,10.487875791003404,13.136504285352935,16.718278646204574,21.089914831224597,22.94151108651809,34.93304259275183
sum_with_error,reml,s_de,10.945311557025763,13.393899609718858,16.437522201211745,19.177322811633672,21.386448046011324,29.052986235189174
productsum,svwls,s_de,8.814996266196475,13.71806837652337,19.961738705566457,27.755469170587087,32.898667399661335,60.42498914679865
sum_with_error,svwls,s_de,9.619610207167282,14.29672946327035,20.4441880895983,28.41925261645884,33.30447588985325,60.934436985124336
productsum,reml,s_ie,0.02023512813657554,0.03371853067038219,0.06561008917155388,0.1337202919003155,0.11837427221180324,0.19404400921521317
sum_with_error,reml,s_ie,0.026234553605946474,0.04088828942917378,0.07458477574412356,0.11079123269708992,0.12349725605565234,0.18607530765134633
productsum,svwls,s_ie,0.012887314428737353,0.018902697717273365,0.05226150205634625,1.5400642838393415,1.5922985660386466,5.931282001263329
sum_with_error,svwls,s_ie,0.013430955972738492,0.020220339090967758,0.05225922343931272,1.5170172686506747,1.4209434046048364,5.936635633803615
product,reml,s_range,0.27810400909076827,0.5461560883559586,1.4815864366972424,2.441695889918893,4.648932666313058,4.930217059037761
productsum,reml,s_range,0.1971362282836234,0.2833083329595746,0.4020679235772705,0.5846462650263081,0.6323965622413499,1.0977686346891824
sum_with_error,reml,s_range,0.21294744872971563,0.2944475297509668,0.4075148543471223,0.522327767123204,0.5797933265151233,0.8556069197479161
product,svwls,s_range,0.11682723122665997,0.290358132172977,0.6925314014906319,1.5215873717094177,2.197733205503706,4.648911758279614
productsum,svwls,s_range,0.12345321704451007,0.2491503455818191,0.49743060196801914,1.2915399046601408,1.5517894733641382,4.4156813293023465
sum_with_error,svwls,s_range,0.12369034538179254,0.24774844904450846,0.49706256769779333,1.25067378598895,1.4419495102939037,4.375942222645646
product,reml,st_de,6.769064443514479,8.62546851724534,11.334738165444858,13.763739072583178,15.429755484955793,22.523970036897268
productsum,reml,st_de,9.118918646981264e-4,0.003252727263034493,0.008499027228207575,0.010461793746199042,0.01512399865607426,0.021962251172767466
product,svwls,st_de,15.926012243326005,19.689568496521687,27.242322904202087,31.802539150163533,39.33978702489469,54.05045158536717
productsum,svwls,st_de,4.561460880569083e-4,0.003543925312898041,0.041077582113518425,1.2682454510235381,0.43081022173827543,2.27657025294553
productsum,reml,st_ie,0.16863245760975556,0.22629314355453356,0.30707083662946644,0.33769828701239046,0.41499526513473806,0.5399271711802837
sum_with_error,reml,st_ie,0.1712593706497795,0.2301031154358764,0.31090129894655355,0.34268596264149825,0.42061518575167367,0.5480506923920545
productsum,svwls,st_ie,0.028607623072763377,0.22044086699689935,0.4683897909095657,0.6941959732953962,0.7730135461545011,1.2039647710528183
sum_with_error,svwls,st_ie,0.0882657066054896,0.28376454203935747,0.5297310477724393,0.7922584101755583,0.8460026021136776,1.3661767531110038
productsum,reml,t_de,1.9662873077431764,3.3664841525058495,5.8769094727099755,7.243431459711693,9.630884222221766,13.92591839339283
sum_with_error,reml,t_de,1.8250923056061932,3.173686095620017,5.5945184490503745,6.783488823542608,9.221675655047886,13.161215059275301
productsum,svwls,t_de,0.1126018424664697,1.4078392496643588,5.147602235757359,10.280854836945922,12.940065013241258,26.79105164608583
sum_with_error,svwls,t_de,0.39485067406521596,1.7834121403516705,5.6212328021768805,10.567995032879253,13.36994336325288,26.59737350850845
productsum,reml,t_ie,0.0053086549212098336,0.01650598088408199,0.047934348604133266,0.08910912983338372,0.11698799721728381,0.21344233250579406
sum_with_error,reml,t_ie,0.007542688276761298,0.025793418362813986,0.06506726816978214,0.09841918095352757,0.13009019949614964,0.22747350932847454
productsum,svwls,t_ie,7.42364442072647e-4,0.007553431520017278,0.036985619768629116,0.2762516375475488,0.33166226328313786,0.8774078836010073
sum_with_error,svwls,t_ie,0.0012257593363351497,0.006286534331614693,0.034392004986300045,0.2455879496541229,0.24806004025532977,0.7575358718208598
product,reml,t_range,3.872514010360336,3.967597513613343,3.992360872046462,3.821019661921382,3.9963557952223976,3.9963557952223976
productsum,reml,t_range,0.2261989443706306,0.3013276042575823,0.4554424640661287,0.6072716525546956,0.5263163666397409,0.9335682221375747
sum_with_error,reml,t_range,0.237447267163575,0.3053305992315949,0.4525302092111144,0.5051370025814316,0.5080551975494285,0.7431524552821498
product,svwls,t_range,0.7257620013095749,1.6012187295144018,3.9554413190486857,2.871411083035627,3.9963557952223976,3.9963557952223976
productsum,svwls,t_range,0.30000216129385987,0.46957955219688713,0.9537778503332287,1.554075718290563,2.667950643952401,3.9486646783501334
sum_with_error,svwls,t_range,0.2667399842991124,0.4398354912244723,0.779032648810738,1.4006789556907542,2.158182883337159,3.906872280843991
product,reml,v_s,9.110511944006454e-4,9.110511944006454e-4,9.110511944006454e-4,0.1437492790572899,0.3096354521092606,0.4416748667818068
product,svwls,v_s,9.110511944006454e-4,9.110511944006454e-4,9.110511944006454e-4,0.07610605579377976,0.09871737394002444,0.2450778251423613
product,reml,v_t,0.03337329959864219,0.04832323798794941,0.06878836181952863,0.07524159604343493,0.0945476704838062,0.12605782266628424
product,svwls,v_t,9.110511944006454e-4,9.110511944006454e-4,0.013478439884679103,0.02600649174334964,0.03508040988452572,0.06714420168695108
