"","stcov","estmethod","beta","typeone","mse","bias"
"1","ind","ols","beta1",0.592,0.602026677237884,0.00841731658899503
"2","ind","ols","beta2",0.5125,0.507275678306029,-0.0187444749233758
"3","ind","ols","beta3",0.0525,0.156400750550998,0.00513930638435029
"4","product","reml","beta1",0.062,0.530899173321412,0.00687839775083429
"5","product","reml","beta2",0.0965,0.343392850484989,-0.00765225555230686
"6","product","reml","beta3",0.0545,0.0798697504452658,0.00312509250652637
"7","product","svwls","beta1",0.1135,0.500073420882417,0.00736144576152559
"8","product","svwls","beta2",0.1185,0.342227766370788,-0.00387593816636391
"9","product","svwls","beta3",0.1935,0.0869036285452472,0.00236265175222229
"10","productsum","reml","beta1",0.0535,0.470270699671856,0.00828248696466022
"11","productsum","reml","beta2",0.0625,0.322518009829905,-0.00385012509433376
"12","productsum","reml","beta3",0.0535,0.0785557296027076,0.00332218526488537
"13","productsum","svwls","beta1",0.0755,0.493506581741455,0.00950597598108603
"14","productsum","svwls","beta2",0.133,0.339353798501498,-0.00572428470971145
"15","productsum","svwls","beta3",0.056,0.0797926158653167,0.00338260196525524
"16","sum_with_error","reml","beta1",0.057,0.475732196239479,0.0111520045183332
"17","sum_with_error","reml","beta2",0.0725,0.324057638218805,-0.00385817541448005
"18","sum_with_error","reml","beta3",0.05,0.088906052130615,0.00369937658002822
"19","sum_with_error","svwls","beta1",0.0645,0.495668714145642,0.0131484521765861
"20","sum_with_error","svwls","beta2",0.123,0.33894415944157,-0.00865103832451192
"21","sum_with_error","svwls","beta3",0.0725,0.0892854860512525,0.00372064477187041
