n_st,seconds
1023,0.18810695100000002
2024,0.690594822
3024,1.500865032
3968,2.306342379
5040,4.520665003
5928,6.245479598
7055,9.31601750303
7920,11.473130161
9024,15.207402906
9999,19.079797624
11024,24.01604583
12099,28.897379281040003
12995,34.185958382
13923,39.297975673
14883,43.83130708596
