"","stcov","estmethod","beta","typeone","mse","bias"
"1","ind","ols","beta1",0.6215,0.620126679376114,-0.000725250096545858
"2","ind","ols","beta2",0.503,0.509984668341362,-0.0101376930212586
"3","ind","ols","beta3",0.05,0.15380700115723,0.00343544925449217
"4","product","reml","beta1",0.137,0.520946195995649,0.004179294755203
"5","product","reml","beta2",0.153,0.320054833227395,-0.0125558624732187
"6","product","reml","beta3",0.0455,0.0402714677301816,-0.00107362649934157
"7","product","svwls","beta1",0.1275,0.510465301719041,0.00938412911004354
"8","product","svwls","beta2",0.202,0.327122135744463,-0.0134152692420246
"9","product","svwls","beta3",0.095,0.0446840634633549,-0.000606336233265742
"10","productsum","reml","beta1",0.05,0.488552743551991,0.00682640159974383
"11","productsum","reml","beta2",0.0615,0.31547680916636,-0.0125630761418977
"12","productsum","reml","beta3",0.046,0.0390431331746621,-0.000890352550956361
"13","productsum","svwls","beta1",0.073,0.509344089634903,0.00710287320112872
"14","productsum","svwls","beta2",0.144,0.335143837470211,-0.0114499528404008
"15","productsum","svwls","beta3",0.116,0.0445045995230211,-0.00110742724746312
"16","sum_with_error","reml","beta1",0.049,0.501301387712697,0.00392190177258751
"17","sum_with_error","reml","beta2",0.0635,0.319849443291182,-0.0117715550056446
"18","sum_with_error","reml","beta3",0.053,0.0754845193636799,-0.00100856627850104
"19","sum_with_error","svwls","beta1",0.054,0.515559057825155,0.00780809593859848
"20","sum_with_error","svwls","beta2",0.1355,0.336160654570708,-0.0130275220657369
"21","sum_with_error","svwls","beta3",0.1675,0.0758327306062017,-0.00107957143852066
