"","stcov","estmethod","covparam","lowq","q1","median_result","mean_result","q3","highq"
"1","productsum","reml","s_de",4.26719670304004,5.92930448222978,7.70360700735548,8.28123415007409,9.70294959655746,12.2365895751584
"2","sum_with_error","reml","s_de",5.12780987280119,6.4451489296738,7.98020282757364,8.54835230576781,9.73542759985628,12.1694930541445
"3","productsum","svwls","s_de",0.0200952763314271,1.46583400261572,4.94970581852233,7.60831882236875,10.3728438137811,18.9499384694535
"4","sum_with_error","svwls","s_de",0.768451229227038,3.08216572032178,6.36638865748702,9.32971713298167,12.5328899916032,21.744120953085
"5","productsum","reml","s_ie",0.829151304885072,1.37744048863999,1.9095728184029,1.94726109801443,2.5121616546251,3.07058446453857
"6","sum_with_error","reml","s_ie",1.12786228991564,1.58114023071997,2.02794395842789,2.06280058808241,2.54592070211519,3.12775565291584
"7","productsum","svwls","s_ie",0.0102063848845888,0.2743705966012,1.53545531138714,1.6605475049522,2.57792111990519,3.57257925403577
"8","sum_with_error","svwls","s_ie",0.0191404078024835,0.556973978035906,1.70590203790382,1.79364012751827,2.69230105545998,3.69591322591698
"9","product","reml","s_range",2.53405931230714,3.93709081909872,4.47089320038469,4.14546369623451,4.75178435641161,4.96870441494209
"10","productsum","reml","s_range",2.30335671579231,2.63775485161318,2.94882948659885,2.91608825099877,3.21626307069848,3.52309284948047
"11","sum_with_error","reml","s_range",2.34954375202895,2.63835992435059,2.90094384148619,2.89357621113751,3.15576305583477,3.40567669327171
"12","product","svwls","s_range",0.786766126231726,1.13411094782709,1.6285830147407,2.19876796470059,3.34030595992904,4.59559117130339
"13","productsum","svwls","s_range",0.297223532568729,0.748072566244074,3.13698988428654,2.70361060934562,4.43418231335887,4.79400499843798
"14","sum_with_error","svwls","s_range",0.352274164505914,0.855615003371123,3.43356556644563,2.81950176417106,4.4280083740179,4.81848910440952
"15","product","reml","st_de",14.2203730193663,15.1717481516761,16.4774007308159,16.6563877204469,17.8720701750914,19.29205715169
"16","productsum","reml","st_de",0.493689065918088,0.751777558895097,0.921378914816701,1.14520244018982,1.1277313337872,1.79449589191792
"17","product","svwls","st_de",15.0201091295631,16.3601614948776,18.1900687927872,18.9197858049542,20.4767011470182,23.5417414531573
"18","productsum","svwls","st_de",0.00827661873092543,0.018130132525949,0.605651693034963,1.85873113574799,2.35934108595623,5.22129538313624
"19","productsum","reml","st_ie",8.45623092093378,8.69859709931836,8.9972004722591,9.0007636000896,9.30410541225112,9.54998816959702
"20","sum_with_error","reml","st_ie",8.52352404092339,8.77692650944498,9.08055265581913,9.07571351021318,9.37860144372939,9.62707318056791
"21","productsum","svwls","st_ie",8.3659874714561,8.67118049590906,9.0149992184573,9.06975441665205,9.38253258211493,9.7877445796378
"22","sum_with_error","svwls","st_ie",8.42867760779942,8.72000864534005,9.07432198071042,9.10098941894882,9.42597011776805,9.76263403070963
"23","productsum","reml","t_de",4.27230571942522,5.91440191579314,7.53192751322083,8.30486860524901,9.40847878925512,11.9381616511015
"24","sum_with_error","reml","t_de",5.09402764092412,6.39220467355212,7.99811978833842,8.57828724604459,9.67402025537086,11.6218937486562
"25","productsum","svwls","t_de",0.00356700401048414,0.554710252281702,3.32208752184014,6.84164397316047,9.133339688155,18.5939482703729
"26","sum_with_error","svwls","t_de",0.0032766688019031,0.820738714510261,3.84318795632309,7.9237972687462,10.4388388048953,20.4929018421761
"27","productsum","reml","t_ie",1.14681817510089,1.46045619996339,1.87601180259492,1.96655710747705,2.41839983565113,2.9007940136449
"28","sum_with_error","reml","t_ie",1.15264485770313,1.47144991012897,1.91538623654634,1.99207366113791,2.44169935488744,2.92194871936564
"29","productsum","svwls","t_ie",0.639574064955263,1.30497380532729,1.86637953918989,1.83426342729395,2.37310800032364,2.94746955654091
"30","sum_with_error","svwls","t_ie",0.757196349109654,1.34560624894616,1.86891850487526,1.86310997409553,2.39074884216768,2.92993944846236
"31","product","reml","t_range",1.78673039716692,2.50293998821034,3.45368027329839,3.10410385838991,3.73419728940897,3.85690086269895
"32","productsum","reml","t_range",1.59707945423964,1.86647004940604,2.10739084581935,2.09500764752339,2.34447007608272,2.61069528760322
"33","sum_with_error","reml","t_range",1.64855800005489,1.86169435056721,2.07130659859813,2.07476378631218,2.29976796219625,2.4929743784536
"34","product","svwls","t_range",0.465390045149364,0.73458350911693,1.45725320083488,1.95956419495301,3.55197757302028,3.84047447975183
"35","productsum","svwls","t_range",0.417168182678516,0.93860733585096,2.46003996526954,2.25325970936877,3.56136237003695,3.8206778233934
"36","sum_with_error","svwls","t_range",0.330445990710946,0.496411020387412,1.90953039931733,1.99658793939898,3.46107443640175,3.77520725251478
"37","product","reml","v_s",0.677419171397268,0.709987502520737,0.747211592654791,0.744994795732758,0.78224332005082,0.813915625263898
"38","product","svwls","v_s",0.21901936301131,0.317917841354029,0.458783934058066,0.458557231582208,0.596526789100354,0.701063476118492
"39","product","reml","v_t",0.579807805734819,0.623482882404388,0.6721177101246,0.671575227345255,0.721446510958172,0.764231974590393
"40","product","svwls","v_t",0.379531783742312,0.461243459121283,0.550399072514286,0.542988217000615,0.627998974147564,0.692865207741937
