"","stcov","estmethod","beta","typeone","mse","bias"
"1","ind","ols","beta1",0.5375,0.443844796857542,-0.00563071085479834
"2","ind","ols","beta2",0.435,0.351375864718528,-0.0120921132819836
"3","ind","ols","beta3",0.0505,0.134290630453656,0.00108588074519922
"4","product","reml","beta1",0.0705,0.395679926413237,-0.00338472481491092
"5","product","reml","beta2",0.094,0.316784615591487,-0.00960649171330776
"6","product","reml","beta3",0.0625,0.103413220050952,0.00231731069145157
"7","product","svwls","beta1",0.0755,0.372016431754951,-0.00445290432949202
"8","product","svwls","beta2",0.0935,0.313525015055604,-0.00656795044600552
"9","product","svwls","beta3",0.1395,0.109574717224139,0.00135476183203001
"10","productsum","reml","beta1",0.057,0.357605944998292,-0.00491037915045936
"11","productsum","reml","beta2",0.0655,0.30408768246129,-0.00826060708562575
"12","productsum","reml","beta3",0.0645,0.102552967484301,0.00286527918671992
"13","productsum","svwls","beta1",0.0725,0.368951147820303,-0.00776955236234796
"14","productsum","svwls","beta2",0.092,0.306116652455349,-0.00711353603731975
"15","productsum","svwls","beta3",0.066,0.103167777911075,0.00297798731806098
"16","sum_with_error","reml","beta1",0.0515,0.3563747780743,-0.00457432231183527
"17","sum_with_error","reml","beta2",0.0665,0.30364389168108,-0.00845145346129804
"18","sum_with_error","reml","beta3",0.0655,0.102735772668007,0.00283873100952132
"19","sum_with_error","svwls","beta1",0.0715,0.367912605501483,-0.00728553629968959
"20","sum_with_error","svwls","beta2",0.0885,0.306180591224647,-0.00736000094798011
"21","sum_with_error","svwls","beta3",0.066,0.102993826625623,0.00311113165988488
