"","stcov","estmethod","covparam","lowq","q1","median_result","mean_result","q3","highq"
"1","productsum","reml","s_de",4.19222093956306,5.74725553094665,7.45734016479643,7.64824911250637,9.0776660254168,10.7214909776855
"2","sum_with_error","reml","s_de",5.09197530994132,6.38522118169066,7.88676065443838,8.08809837596915,9.41220894896859,10.9586851269475
"3","productsum","svwls","s_de",0.319842346787004,3.22659618254282,7.19467830022113,9.67040445748655,12.2068116053722,20.9253441164359
"4","sum_with_error","svwls","s_de",2.72004786503781,5.45490079344514,8.96117640494613,12.1943255039865,14.5902155939428,26.1477761000789
"5","productsum","reml","s_ie",1.01872822788846,1.45991173126903,1.92930444575376,2.0111573471409,2.46396393927385,3.03997047887594
"6","sum_with_error","reml","s_ie",1.21297395674102,1.60706718364648,2.02191969981237,2.06338802003034,2.44133447623845,2.95938484909915
"7","productsum","svwls","s_ie",0.00808596197443732,0.0407540206858119,1.3683442095198,1.80947927148175,3.07058401376549,4.55344350733498
"8","sum_with_error","svwls","s_ie",0.010816940920465,0.119744315139846,1.72271031479851,2.04456414975679,3.38442809965412,4.8057656589101
"9","product","reml","s_range",0.137978838924023,3.54300674857152,4.43592296973659,3.58573518450175,4.73963376208616,4.97696589525541
"10","productsum","reml","s_range",0.382308757111522,0.607593456402843,0.768024017022036,0.809394764879226,0.938305827874618,1.17943522103021
"11","sum_with_error","reml","s_range",0.55351335479518,0.683475017156425,0.801486123144995,0.833704382438334,0.933272625706217,1.10687626812621
"12","product","svwls","s_range",0.359476649753662,1.14597539530776,2.09578598399765,2.48972655857509,4.26147817849729,4.77933524888954
"13","productsum","svwls","s_range",0.167395294974024,0.304355510679437,0.702248583903271,1.55380453986472,2.6700131236726,4.49655949062037
"14","sum_with_error","svwls","s_range",0.172271808167987,0.324095256196267,0.76350122883597,1.58471399034413,2.69089181017705,4.50704704125643
"15","product","reml","st_de",19.2962359421827,21.5081688217932,23.5079322710524,23.4032214979572,25.3462236864117,27.2040890353874
"16","productsum","reml","st_de",0.584383515054775,0.83053677897626,1.07724546609538,1.24532252891828,1.47586520512639,2.09012082013324
"17","product","svwls","st_de",21.1737348401405,23.9605820143909,27.4147233606924,28.2104013310614,31.2178499508823,36.5072515177564
"18","productsum","svwls","st_de",0.00929567955556821,0.0721058313007076,0.927679673319578,3.19614434130429,3.61957459200414,8.72606541777267
"19","productsum","reml","st_ie",8.3927781986319,9.23341271301598,10.0021807258689,9.90406812094001,10.6663154822612,11.2889778719838
"20","sum_with_error","reml","st_ie",8.91468953061037,9.76824801710716,10.5452254776777,10.4344359890053,11.2279954600581,11.7890167312881
"21","productsum","svwls","st_ie",8.25441113147025,9.21399420763001,10.0891739036286,10.032600003434,10.9591273938211,11.6550058361491
"22","sum_with_error","svwls","st_ie",8.49221306577546,9.45216157697639,10.2964887105904,10.2321771035537,11.1591255829256,11.8028931933294
"23","productsum","reml","t_de",4.09256010280806,5.42787012428591,7.09041291372394,7.49492730348863,8.83356924332831,11.1215225952531
"24","sum_with_error","reml","t_de",4.76611264915066,6.02849535914643,7.43890196892634,7.91463633312135,9.13533029017804,11.0466418575051
"25","productsum","svwls","t_de",0.0637538491739013,2.6962875807872,7.03655880204338,12.2361494473957,13.9497573978125,29.3137994274749
"26","sum_with_error","svwls","t_de",1.28620964528059,3.5797397014879,7.96891220142094,13.2768746776209,15.4203753243574,32.7816892375773
"27","productsum","reml","t_ie",1.02315110348662,1.36432322668883,1.8112388573457,1.90450248073148,2.35001424327298,2.90248304936631
"28","sum_with_error","reml","t_ie",0.991839914572436,1.35205140232869,1.78034444689684,1.87598074316944,2.31379396121595,2.91440176504093
"29","productsum","svwls","t_ie",0.0384192541249341,0.749395648412696,1.76794344033821,1.82238778258333,2.72684418226565,3.56391951485121
"30","sum_with_error","svwls","t_ie",0.0498901655360798,0.787739052076536,1.77539731984765,1.84065409166738,2.7237785628163,3.54586893498136
"31","product","reml","t_range",0.791953896468619,1.90020422111056,3.04424864929582,2.68157930560588,3.61148476678523,3.79692834567013
"32","productsum","reml","t_range",0.402034629320882,0.464583368568957,0.525391195995482,0.55885115237991,0.619531644590363,0.739930711807826
"33","sum_with_error","reml","t_range",0.420584663264685,0.478124303959701,0.540092772648906,0.575639826398266,0.634363649843521,0.73727644836654
"34","product","svwls","t_range",0.370141877001056,0.478903102107623,0.82676786703038,1.29557666568829,1.60758690756483,3.60417415072147
"35","productsum","svwls","t_range",0.307672438096543,0.409213197081774,0.712292503081168,1.3140841134114,2.07286617983984,3.49765036802329
"36","sum_with_error","svwls","t_range",0.263999726997525,0.389414066346267,0.488650740891213,1.17254454141935,1.75029329788121,3.43943806164658
"37","product","reml","v_s",0.186159958150222,0.600913565812095,0.673264761451893,0.600035590206392,0.722357017875173,0.757953076209087
"38","product","svwls","v_s",0.106816866478511,0.203094737598437,0.328890343708518,0.335184897909711,0.460665993031975,0.574869101713667
"39","product","reml","v_t",0.458695113601508,0.503946870223703,0.554216009156792,0.554787572943754,0.605400055252833,0.654900734400399
"40","product","svwls","v_t",0.213005260920937,0.283865055426717,0.374489619004124,0.384143544770308,0.474708489306785,0.570121232458775
