"","stcov","estmethod","beta","typeone","mse","bias"
"1","ind","ols","beta1",0.5945,0.492911339696368,0.000841702503082152
"2","ind","ols","beta2",0.479,0.371616914274756,-0.0107336625732156
"3","ind","ols","beta3",0.052,0.124743433677332,0.00449670545102081
"4","product","reml","beta1",0.058,0.413973960730489,0.00231198284567532
"5","product","reml","beta2",0.1085,0.314764108484134,-0.00484030125024073
"6","product","reml","beta3",0.0505,0.0760302592910246,0.00255850917403632
"7","product","svwls","beta1",0.0745,0.384036604484061,0.00340005659577676
"8","product","svwls","beta2",0.095,0.314269198275289,-0.000325026418204204
"9","product","svwls","beta3",0.1765,0.0816673022300004,0.00203856843378311
"10","productsum","reml","beta1",0.0605,0.368542465118455,0.00399823359645405
"11","productsum","reml","beta2",0.067,0.300761163826619,-0.00237974984723773
"12","productsum","reml","beta3",0.055,0.0749140179389823,0.00264929786104747
"13","productsum","svwls","beta1",0.0785,0.382158069126843,0.00460553144321869
"14","productsum","svwls","beta2",0.117,0.307467859959805,-0.00401901260338984
"15","productsum","svwls","beta3",0.0555,0.075924887787957,0.0025639642787079
"16","sum_with_error","reml","beta1",0.0575,0.369773127310954,0.00444451409625573
"17","sum_with_error","reml","beta2",0.066,0.301027634731523,-0.00257097502405221
"18","sum_with_error","reml","beta3",0.0505,0.0760866901483057,0.0028813265583214
"19","sum_with_error","svwls","beta1",0.07,0.38249095145583,0.00561997466744552
"20","sum_with_error","svwls","beta2",0.0945,0.307264225935534,-0.00447472005664975
"21","sum_with_error","svwls","beta3",0.0555,0.0765601657211263,0.00272860828414482
