stcov,estmethod,beta,typeone,rmse,mbias
ind,ols,beta1,0.5945,0.57216292727002,0.004630551398611245
ind,ols,beta2,0.5225,0.4829469412378786,-0.014214477914785712
ind,ols,beta3,0.054,0.14725773154822347,9.066785462821127e-4
product,reml,beta1,0.115,0.5141541956747437,0.003187093223211152
product,reml,beta2,0.1385,0.39634066958967823,-0.006273292596386564
product,reml,beta3,0.0495,0.06570438343478,-6.02440576662309e-5
product,svwls,beta1,0.11,0.5133929482800484,-0.0012127477391582564
product,svwls,beta2,0.1655,0.40018079238454546,-0.007002984804290744
product,svwls,beta3,0.0885,0.06937085020982284,-5.031660597967453e-4
productsum,reml,beta1,0.058,0.49274506758836245,0.0027252077056058466
productsum,reml,beta2,0.058,0.39185388908143265,-0.0074829751249754555
productsum,reml,beta3,0.0485,0.06449740891710316,4.081031218907801e-5
productsum,svwls,beta1,0.0885,0.5147956281590457,0.0013827064399962682
productsum,svwls,beta2,0.0885,0.39900552593921806,-0.0060607315939284825
productsum,svwls,beta3,0.049,0.06641272773367046,7.991891439765671e-4
sum_with_error,reml,beta1,0.058,0.5013928280485521,0.0055887937689970794
sum_with_error,reml,beta2,0.065,0.3971536976763405,-0.0056454994046093235
sum_with_error,reml,beta3,0.046,0.08564219830672458,8.485024821999075e-4
sum_with_error,svwls,beta1,0.0635,0.5132583867820035,0.00550009950474148
sum_with_error,svwls,beta2,0.091,0.39984300550628704,-0.0038896660278371765
sum_with_error,svwls,beta3,0.0735,0.08567233913231274,7.840970705888882e-4
