stcov,estmethod,beta,typeone,rmse,mbias
ind,ols,beta1,0.584,0.5457840874149448,-0.015011715412679367
ind,ols,beta2,0.495,0.4615560581863534,-0.0013672348467598824
ind,ols,beta3,0.0485,0.1487438703999724,0.001947201311623677
product,reml,beta1,0.1175,0.500095790116361,-0.010005949272673557
product,reml,beta2,0.1175,0.3826881978931974,-0.004367236272193946
product,reml,beta3,0.052,0.07955702309797352,0.002327409323032918
product,svwls,beta1,0.1085,0.5061132416702836,-0.0072620107227469545
product,svwls,beta2,0.1595,0.38852148897709216,-0.00441482690815449
product,svwls,beta3,0.1065,0.08386159413595458,0.0035040454887829103
productsum,reml,beta1,0.05,0.48653678401297235,-0.006578908219740958
productsum,reml,beta2,0.0615,0.3777263332380396,-0.003724519493356387
productsum,reml,beta3,0.053,0.07960048485671174,0.0023004973139885156
productsum,svwls,beta1,0.091,0.5061494785923621,-0.007290466234178669
productsum,svwls,beta2,0.1195,0.3827094016147669,-0.008018479423005249
productsum,svwls,beta3,0.057,0.0825967402817161,0.002910239924950097
sum_with_error,reml,beta1,0.0545,0.492841763974928,-0.004621760189216279
sum_with_error,reml,beta2,0.0575,0.3788891458606334,-0.005642568222791432
sum_with_error,reml,beta3,0.05,0.09929181550826494,0.0030851326078561877
sum_with_error,svwls,beta1,0.0655,0.5067251468050064,-0.006787358865074508
sum_with_error,svwls,beta2,0.116,0.38534322603239607,-0.00784827265129686
sum_with_error,svwls,beta3,0.077,0.09923238196087576,0.003024714360867785
