stcov,estmethod,quantity,mean_result
product,reml,convergence,0
productsum,reml,convergence,0.015
sum_with_error,reml,convergence,0
product,svwls,convergence,0
productsum,svwls,convergence,0.005
sum_with_error,svwls,convergence,0
product,reml,counts,75.585
productsum,reml,counts,128.9725
sum_with_error,reml,counts,65.809
product,svwls,counts,723.274
productsum,svwls,counts,1967.034
sum_with_error,svwls,counts,1509.393
product,reml,optim_seconds,4.861257732748985
productsum,reml,optim_seconds,25.864005791902542
sum_with_error,reml,optim_seconds,5.454915516257286
product,svwls,optim_seconds,0.08208254146575927
productsum,svwls,optim_seconds,0.24148635244369507
sum_with_error,svwls,optim_seconds,0.18376227343082427
product,reml,stemp_seconds,0
productsum,reml,stemp_seconds,0
sum_with_error,reml,stemp_seconds,0
product,svwls,stemp_seconds,0.3228242625395457
productsum,svwls,stemp_seconds,0.3228242625395457
sum_with_error,svwls,stemp_seconds,0.3228242625395457
product,reml,value,5796.198711976776
productsum,reml,value,5748.937421678019
sum_with_error,reml,value,6632.988459836904
product,svwls,value,7944.526369680606
productsum,svwls,value,7681.7133183224805
sum_with_error,svwls,value,8650.822113290651
