stcov,estmethod,covparam,lowq,q1,median_result,mean_result,q3,highq
productsum,reml,s_de,0.7223583970685465,1.7180804424385172,2.986460648287662,3.322502511244683,4.562513251273328,6.177487911772764
sum_with_error,reml,s_de,2.866249525408497,3.6118209700185426,4.708940694760263,6.548197294760207,6.265535892967386,11.180906299402363
productsum,svwls,s_de,4.2823542519651933e-4,0.006391568849947892,0.42711199868916583,2.5998319008450537,2.993969355420041,7.600541318897652
sum_with_error,svwls,s_de,1.1986283889982898,7.098187358164244,12.479209045220099,16.53915773707813,20.974823716695724,36.4778994569401
productsum,reml,s_ie,1.4144100055717492,2.6142498619501864,3.9690455384601586,4.317233550956327,5.703295873716554,7.42355408907444
sum_with_error,reml,s_ie,2.6400753577024196,3.7956538104719653,4.8320659915394755,4.916345620707969,6.001927652777194,7.278172941821815
productsum,svwls,s_ie,0.001052471462293964,0.019096023069225934,1.6352909276277607,2.5278546319489026,4.302976334754934,6.633912539249755
sum_with_error,svwls,s_ie,0.014385755291585612,0.20735451299867758,3.1532629463867003,3.8391634093350238,6.182147416786641,8.956700987480087
product,reml,s_range,1.527590902870947,1.83676536088118,2.2860056640543007,2.592003923478696,3.191247051955018,4.26435374820323
productsum,reml,s_range,0.39577756775480316,0.46997433045265535,0.558481908040678,0.5905070429872845,0.6797128772779637,0.812140873966732
sum_with_error,reml,s_range,0.6114087658142696,0.7574414538505777,0.9203795279648754,1.0849488561377025,1.1748993529560088,1.6311328196469792
product,svwls,s_range,0.4051075654864972,0.6701632422837497,1.2949510526743089,1.8830159901637664,2.722526980148986,4.6480590734589065
productsum,svwls,s_range,0.17092055376768858,0.3091101745054946,0.5438883112862428,0.9140963690340553,1.0137677325078922,2.1120147540545884
sum_with_error,svwls,s_range,0.19338581691043585,0.3884095446475336,1.007432530678197,1.894450834078969,3.851550602112042,4.695737629574228
product,reml,st_de,23.17208243589851,25.874275759958813,29.690502778115196,31.222283079871485,34.42373689314174,41.16977563989884
productsum,reml,st_de,12.56147662489306,14.91162025416185,17.42226737435749,17.922046039105513,20.646956810326547,23.74175818289693
product,svwls,st_de,22.235323226346374,25.17966789827824,29.08477014592132,31.467214977752267,35.160921748945285,42.967913899652935
productsum,svwls,st_de,8.318715477159955,11.339570369779485,15.158271506707205,17.336921215793858,20.432028019861605,27.444279965784418
productsum,reml,st_ie,2.168404068713628,2.5296293937281504,2.987582792919743,2.9965113855228513,3.4227187470899882,3.853941601227963
sum_with_error,reml,st_ie,9.122291371596422,10.069976322911604,11.367057092023384,11.436747032056575,12.663743449410678,13.966812118550859
productsum,svwls,st_ie,2.0529596001155848,3.0863061963868335,4.220428533326978,4.3466826470995565,5.398053622840472,6.74317976673845
sum_with_error,svwls,st_ie,6.295527399332513,7.541589758632699,8.722323239480243,8.693042262837803,9.885493984540654,11.048834324145291
productsum,reml,t_de,0.4884696704561707,0.9255620723624314,1.6112753114087242,2.002413538789988,2.653635550441712,3.965682089906713
sum_with_error,reml,t_de,1.552277532898887,2.181446169647103,2.94725683994739,3.9220533752887157,4.156740627529691,6.178958663123804
productsum,svwls,t_de,0.0019437251919415712,0.006270079262894656,0.812466382247774,3.456508745723559,4.270525504152751,9.6218208845181
sum_with_error,svwls,t_de,2.3972807530220557,4.675662133645617,9.323213559287137,16.42142123438854,20.637041933882102,41.59223140985276
productsum,reml,t_ie,1.1088855941618914,1.6073789906242058,2.4040074404903224,2.741494844875966,3.53686770968543,4.80449265098204
sum_with_error,reml,t_ie,1.0264913452678772,1.6523840730813821,2.561172142113807,2.8168839689643526,3.6851222346473502,4.875928152744261
productsum,svwls,t_ie,3.8033212702638707e-4,0.30669820742401305,1.9770932730226056,2.144683417129885,3.317508284097459,4.660331059012178
sum_with_error,svwls,t_ie,0.02459687905422377,0.31451226459911674,1.6975562147294905,2.0213239931522895,3.1025025798110244,4.499484564055954
product,reml,t_range,0.48549194426883047,0.49523000954519936,0.5103652702244201,0.6036822567583358,0.594325812937441,0.9162224073088395
productsum,reml,t_range,0.4559192161587972,0.4891228645906501,0.49821365382996036,0.4903860557760559,0.50674730493937,0.5132640175306553
sum_with_error,reml,t_range,0.37799330131092534,0.4723216435435852,0.5598892618882436,0.6140115116948505,0.6959545586168427,0.8474124309343842
product,svwls,t_range,0.4411764688016344,0.5176534232495952,0.6610097883063419,0.8219252297201551,0.8834980675075969,1.2992259516713127
productsum,svwls,t_range,0.3296153542086051,0.41176427521504644,0.485772619755088,0.7185703869900731,0.7561162995997486,1.1931170489799516
sum_with_error,svwls,t_range,0.31031421773239676,0.40601876636447615,0.5061673883054996,1.2331056131616105,1.7140107309894885,3.701632024959133
product,reml,v_s,0.3586102682072697,0.410909114279436,0.46923109684439235,0.466305793231399,0.5214050560825898,0.5712918985911575
product,svwls,v_s,9.110511944006454e-4,0.08386174234823299,0.23117232418461292,0.2719160185990737,0.4214015266231519,0.6065486593892745
product,reml,v_t,0.10520674826242878,0.12989526546608632,0.16076970589702322,0.16431957563337118,0.19486694290702708,0.22763642475555518
product,svwls,v_t,0.09462578694286847,0.14196675793323613,0.20070674416622844,0.21217846600411,0.27164862311201893,0.34294469642608877
