"","stcov","estmethod","beta","typeone","mse","bias"
"1","ind","ols","beta1",0.642,0.541183505367098,0.00686097022734926
"2","ind","ols","beta2",0.4925,0.371815017851331,-0.00554351528210973
"3","ind","ols","beta3",0.049,0.121716619636339,-0.00160894926036415
"4","product","reml","beta1",0.0585,0.419425568433235,0.00311315928486796
"5","product","reml","beta2",0.1335,0.301210526712118,-0.00178155222809168
"6","product","reml","beta3",0.043,0.0445589479726606,-0.000433647845497908
"7","product","svwls","beta1",0.0875,0.404048645441067,-0.000563026696957517
"8","product","svwls","beta2",0.1385,0.30407853228956,-0.0023104201233285
"9","product","svwls","beta3",0.143,0.0480118228452869,-0.000616260083289724
"10","productsum","reml","beta1",0.058,0.390517899645989,-0.00181577033039651
"11","productsum","reml","beta2",0.0735,0.29617364912665,-0.000844014679436821
"12","productsum","reml","beta3",0.038,0.0440431304746576,-0.000368768700071341
"13","productsum","svwls","beta1",0.082,0.407666889128462,-0.00306413448962226
"14","productsum","svwls","beta2",0.1345,0.303016787619222,0.0010847828279979
"15","productsum","svwls","beta3",0.083,0.0462626266568966,-0.000183274838014801
"16","sum_with_error","reml","beta1",0.059,0.393713416410993,-0.000975952332547717
"17","sum_with_error","reml","beta2",0.0705,0.296803586152838,0.000145538045152065
"18","sum_with_error","reml","beta3",0.047,0.0511104879358853,-0.000248884186063362
"19","sum_with_error","svwls","beta1",0.07,0.409197358828748,-0.00320228466531215
"20","sum_with_error","svwls","beta2",0.103,0.302307920800523,0.000315324645262333
"21","sum_with_error","svwls","beta3",0.081,0.0512586074297132,-0.000350162855144714
