"","stcov","estmethod","quantity","mean_result"
"1","product","reml","convergence",0
"2","productsum","reml","convergence",0
"3","sum_with_error","reml","convergence",0
"4","product","svwls","convergence",0
"5","productsum","svwls","convergence",0.005
"6","sum_with_error","svwls","convergence",0.005
"7","product","reml","counts",90.335
"8","productsum","reml","counts",73.291
"9","sum_with_error","reml","counts",58.203
"10","product","svwls","counts",715.577
"11","productsum","svwls","counts",1882.727
"12","sum_with_error","svwls","counts",1431.721
"13","product","reml","optim_seconds",23.0134263620377
"14","productsum","reml","optim_seconds",70.1011630853415
"15","sum_with_error","reml","optim_seconds",14.7106667852402
"16","product","svwls","optim_seconds",0.266411326527596
"17","productsum","svwls","optim_seconds",0.802813146710396
"18","sum_with_error","svwls","optim_seconds",0.590106579303741
"19","product","reml","stemp_seconds",0
"20","productsum","reml","stemp_seconds",0
"21","sum_with_error","reml","stemp_seconds",0
"22","product","svwls","stemp_seconds",13.3223001542886
"23","productsum","svwls","stemp_seconds",13.3223001542886
"24","sum_with_error","svwls","stemp_seconds",13.3223001542886
"25","product","reml","value",3768.68296254913
"26","productsum","reml","value",3735.94909265391
"27","sum_with_error","reml","value",3933.22809475613
"28","product","svwls","value",8412.36579210958
"29","productsum","svwls","value",8095.43508036165
"30","sum_with_error","svwls","value",8085.35078107268
