"","stcov","estmethod","beta","typeone","mse","bias"
"1","ind","ols","beta1",0.5345,0.437692495136776,0.0177317297624179
"2","ind","ols","beta2",0.42,0.354739695081402,0.00255807643118594
"3","ind","ols","beta3",0.047,0.131641441673135,0.00103578898839246
"4","product","reml","beta1",0.065,0.389100376991834,0.012836706652228
"5","product","reml","beta2",0.091,0.320190451868186,0.00512648849388182
"6","product","reml","beta3",0.053,0.103153959744636,-0.000200565004901091
"7","product","svwls","beta1",0.082,0.36094560268775,0.00986456766240357
"8","product","svwls","beta2",0.0945,0.313918048206848,0.0085643748529623
"9","product","svwls","beta3",0.12,0.108476303075348,-0.000919630072784664
"10","productsum","reml","beta1",0.058,0.346710570795183,0.00786532312159284
"11","productsum","reml","beta2",0.0615,0.300631567591153,0.00882607113531197
"12","productsum","reml","beta3",0.0495,0.102045479092309,0.000294576249862665
"13","productsum","svwls","beta1",0.076,0.35878863082659,0.0117839715407842
"14","productsum","svwls","beta2",0.1065,0.304453852457832,0.00861041833235435
"15","productsum","svwls","beta3",0.052,0.102759363009627,0.001081992883538
"16","sum_with_error","reml","beta1",0.056,0.345606947808464,0.00790186329295092
"17","sum_with_error","reml","beta2",0.061,0.300643138424853,0.00816736313414756
"18","sum_with_error","reml","beta3",0.0485,0.102121361137095,0.000437033512571075
"19","sum_with_error","svwls","beta1",0.075,0.358960955602458,0.0127422825456589
"20","sum_with_error","svwls","beta2",0.0995,0.306815894099844,0.00970178226391982
"21","sum_with_error","svwls","beta3",0.052,0.102715704976974,0.000509292101207101
