"","stcov","estmethod","covparam","lowq","q1","median_result","mean_result","q3","highq"
"1","productsum","reml","s_de",3.45465652342716,5.16503555485775,7.44182968493601,7.86457178850111,9.77408186963556,12.4010888559204
"2","sum_with_error","reml","s_de",4.13906309442868,5.91207551110605,7.9678900151415,8.41665914299942,10.067990976587,12.4981266522236
"3","productsum","svwls","s_de",0.0069047185543184,1.12414559457938,4.38076415614533,6.94335642987517,9.719187316797,17.4555662502948
"4","sum_with_error","svwls","s_de",0.359125141048887,2.79925655226398,6.06547905364517,8.77585387706558,12.1506233731097,20.3575964076547
"5","productsum","reml","s_ie",0.724855090989974,1.20017761712633,1.76739349768458,1.82855437439902,2.38079532584815,3.00944823002902
"6","sum_with_error","reml","s_ie",0.857152100501102,1.35495465254868,1.92004802105088,1.92560136286989,2.46545974590439,2.96549703002059
"7","productsum","svwls","s_ie",0.00893310784996718,0.162336538055303,1.44004418202731,1.6387384214495,2.64369326161005,3.72107363147988
"8","sum_with_error","svwls","s_ie",0.0127413297093072,0.24424030458741,1.59285679453668,1.72873395236557,2.71806463171726,3.78961112077255
"9","product","reml","s_range",2.19335342430473,3.44519391374561,4.38346605206728,3.97512606617924,4.71845724089182,4.96348531826223
"10","productsum","reml","s_range",2.41883712793676,2.71663486072079,2.98934672333847,2.9915744256788,3.28956289070467,3.65435948315396
"11","sum_with_error","reml","s_range",2.47258824520927,2.70095502365818,2.94182461538119,2.96777570376175,3.21454746837327,3.49547916784562
"12","product","svwls","s_range",0.726640518928361,1.07863753878241,1.57177585903779,2.17481687055084,3.39233885628939,4.64065857212946
"13","productsum","svwls","s_range",0.301839174115571,0.840371116611078,3.41352349171588,2.81752682242899,4.44371735330578,4.79698622056869
"14","sum_with_error","svwls","s_range",0.317140326302954,0.836171009376604,3.35692192226574,2.82407875180631,4.45343707423067,4.8216109350196
"15","product","reml","st_de",11.7069446924288,15.0120886776738,18.3288013146963,17.2678748538135,19.9777896511567,21.1637230762593
"16","productsum","reml","st_de",0.479162014270057,0.728002192071791,0.99822330352667,1.30475273960613,1.26239447089811,2.20830074035437
"17","product","svwls","st_de",12.4589664522417,16.3327238109931,19.8484873347444,19.1427891003239,22.2235299200509,24.4956288659879
"18","productsum","svwls","st_de",0.00937264587040605,0.0352130996970502,0.704561536858716,2.04506405178667,2.75927380932271,5.68305145993895
"19","productsum","reml","st_ie",6.62849332234302,8.67148439641325,10.4054673891388,9.87435005499421,11.4198370343749,12.0596088137703
"20","sum_with_error","reml","st_ie",6.6786568381152,8.75959598016397,10.5130091522452,9.96236517664066,11.5204344897536,12.1498473624393
"21","productsum","svwls","st_ie",6.69149306609458,8.72900509132731,10.4009601423222,9.93099430829242,11.5175985344901,12.2212686796334
"22","sum_with_error","svwls","st_ie",6.73742483169178,8.80486060402935,10.4204595101518,9.96688308843594,11.5773528054305,12.241628943776
"23","productsum","reml","t_de",3.35726103691867,5.03426617321779,7.22389618485067,7.65577920013848,9.23856195185722,11.5459169240898
"24","sum_with_error","reml","t_de",3.95908230696033,5.72446070318437,7.608162259063,8.11368158437518,9.51954142027437,11.6886211807628
"25","productsum","svwls","t_de",0.00317054641910126,0.50744589009544,3.16112495448574,6.5181064181103,8.37631644686954,17.1794174832689
"26","sum_with_error","svwls","t_de",0.00317980593027767,0.664981808821492,3.58960181669,7.43296520073307,9.63438024435265,19.3169177697877
"27","productsum","reml","t_ie",0.937621589281698,1.31451505220201,1.77859005589528,1.89312558061469,2.35859610526311,2.95702374343672
"28","sum_with_error","reml","t_ie",0.994852693536003,1.36015345437656,1.8027821610016,1.92860644803389,2.38499770723637,3.03985191078544
"29","productsum","svwls","t_ie",0.144976016192505,1.04374969808372,1.76609361878111,1.76138452037868,2.43923190187472,3.15921486987994
"30","sum_with_error","svwls","t_ie",0.374324195844519,1.08910824272014,1.79389931465769,1.80445695307981,2.47446851709803,3.18499865373921
"31","product","reml","t_range",1.62641618224021,2.19229072794042,3.25882786481437,2.9319028614298,3.67843376675545,3.82411590629362
"32","productsum","reml","t_range",1.41310381840293,1.82251928799804,2.11581035153116,2.0717145253874,2.35703521619919,2.65304168003728
"33","sum_with_error","reml","t_range",1.65632479515923,1.88890494624245,2.10599035271038,2.10629694995397,2.33490705193372,2.55278946780272
"34","product","svwls","t_range",0.451105012653122,0.693552456708232,1.46980394092004,1.95879442401141,3.55989411888874,3.80625386268161
"35","productsum","svwls","t_range",0.42615344403783,0.969042660452247,2.42590873242306,2.25260628318271,3.54192662822298,3.793195460617
"36","sum_with_error","svwls","t_range",0.327719952504937,0.475704901494892,1.95114295728208,2.00982910479107,3.49413870792683,3.79413287975089
"37","product","reml","v_s",0.68470083510982,0.722012912913351,0.760437336761009,0.756589333442514,0.793949219363813,0.824552706814804
"38","product","svwls","v_s",0.212731130015284,0.332595237401419,0.473153380360169,0.478333518106317,0.634934529530941,0.739992506051272
"39","product","reml","v_t",0.6080685228722,0.646911473109326,0.693779210127157,0.694519041691845,0.743974535767659,0.784737191505361
"40","product","svwls","v_t",0.405157696452902,0.488191185025777,0.578167517999276,0.569810209070652,0.657350877810919,0.724262458853847
