"","stcov","estmethod","quantity","mean_result"
"1","product","reml","convergence",0
"2","productsum","reml","convergence",0
"3","sum_with_error","reml","convergence",0
"4","product","svwls","convergence",0
"5","productsum","svwls","convergence",0
"6","sum_with_error","svwls","convergence",0
"7","product","reml","counts",99.968
"8","productsum","reml","counts",59.311
"9","sum_with_error","reml","counts",44.936
"10","product","svwls","counts",719.6455
"11","productsum","svwls","counts",2010.1
"12","sum_with_error","svwls","counts",1526.5885
"13","product","reml","optim_seconds",25.4300203425884
"14","productsum","reml","optim_seconds",57.371128886342
"15","sum_with_error","reml","optim_seconds",11.5945794819593
"16","product","svwls","optim_seconds",0.273429393410683
"17","productsum","svwls","optim_seconds",0.860173308372498
"18","sum_with_error","svwls","optim_seconds",0.635333943009377
"19","product","reml","stemp_seconds",0
"20","productsum","reml","stemp_seconds",0
"21","sum_with_error","reml","stemp_seconds",0
"22","product","svwls","stemp_seconds",13.3715331772963
"23","productsum","svwls","stemp_seconds",13.3715331772963
"24","sum_with_error","svwls","stemp_seconds",13.3715331772963
"25","product","reml","value",4881.04351593814
"26","productsum","reml","value",4834.67730899843
"27","sum_with_error","reml","value",5030.16530561752
"28","product","svwls","value",5263.45846241192
"29","productsum","svwls","value",4819.09465147188
"30","sum_with_error","svwls","value",4887.26850097779
