"","stcov","estmethod","beta","typeone","mse","bias"
"1","ind","ols","beta1",0.561,0.556273488778215,-0.00256710090246771
"2","ind","ols","beta2",0.4775,0.482912049730176,-0.0113241956278953
"3","ind","ols","beta3",0.052,0.157255876035765,0.00101099987398413
"4","product","reml","beta1",0.0685,0.508429830258493,-0.00260807040596362
"5","product","reml","beta2",0.134,0.373116995348467,-0.0095837610414317
"6","product","reml","beta3",0.062,0.106124396355666,0.00235153081090119
"7","product","svwls","beta1",0.107,0.481286345983531,-0.00439848763068991
"8","product","svwls","beta2",0.1,0.347386238420991,-0.00584472608123261
"9","product","svwls","beta3",0.1985,0.114097302050523,0.00153641664358439
"10","productsum","reml","beta1",0.0535,0.457849832278557,-0.00368680324642625
"11","productsum","reml","beta2",0.067,0.328692439435074,-0.00775221641710134
"12","productsum","reml","beta3",0.0625,0.103821426449253,0.00294669165364856
"13","productsum","svwls","beta1",0.0725,0.472755759474052,-0.00765846128051149
"14","productsum","svwls","beta2",0.115,0.336597186095283,-0.00868880914678445
"15","productsum","svwls","beta3",0.0665,0.105005352571466,0.0030011319599085
"16","sum_with_error","reml","beta1",0.054,0.457461715460714,-0.00343066698813251
"17","sum_with_error","reml","beta2",0.065,0.328216536164895,-0.00676836008048061
"18","sum_with_error","reml","beta3",0.0655,0.105300742019103,0.00284183233476263
"19","sum_with_error","svwls","beta1",0.0685,0.474079164223639,-0.00986417920529896
"20","sum_with_error","svwls","beta2",0.1075,0.335957749230218,-0.00656389365108881
"21","sum_with_error","svwls","beta3",0.071,0.106346668832626,0.00301008100987631
