"","stcov","estmethod","quantity","mean_result"
"1","product","reml","convergence",0.005
"2","productsum","reml","convergence",0.035
"3","sum_with_error","reml","convergence",0.06
"4","product","svwls","convergence",0
"5","productsum","svwls","convergence",0
"6","sum_with_error","svwls","convergence",0
"7","product","reml","counts",85.819
"8","productsum","reml","counts",77.028
"9","sum_with_error","reml","counts",56.423
"10","product","svwls","counts",634.857
"11","productsum","svwls","counts",1471.312
"12","sum_with_error","svwls","counts",1250.029
"13","product","reml","optim_seconds",28.7683632375002
"14","productsum","reml","optim_seconds",108.229262751102
"15","sum_with_error","reml","optim_seconds",18.9629838860035
"16","product","svwls","optim_seconds",0.256958327531815
"17","productsum","svwls","optim_seconds",0.647716423869133
"18","sum_with_error","svwls","optim_seconds",0.534808977484703
"19","product","reml","stemp_seconds",0
"20","productsum","reml","stemp_seconds",0
"21","sum_with_error","reml","stemp_seconds",0
"22","product","svwls","stemp_seconds",21.6542002784411
"23","productsum","svwls","stemp_seconds",21.6542002784411
"24","sum_with_error","svwls","stemp_seconds",21.6542002784411
"25","product","reml","value",5105.38466175879
"26","productsum","reml","value",4598.25182498799
"27","sum_with_error","reml","value",4597.25209645178
"28","product","svwls","value",11793.1232205187
"29","productsum","svwls","value",10056.6750760307
"30","sum_with_error","svwls","value",10056.8033544292
