"","stcov","estmethod","covparam","lowq","q1","median_result","mean_result","q3","highq"
"1","productsum","reml","s_de",13.063959644164,15.3512967027858,17.416145375049,18.2134476164618,19.9617543217559,23.1396156121609
"2","sum_with_error","reml","s_de",14.3544204365258,16.2598148295442,18.276256784086,18.6549659941313,20.6241359563797,23.0163673619789
"3","productsum","svwls","s_de",8.30386494398302,11.700670958608,17.2104787450141,24.8320741048499,28.8228385587979,55.3111381668714
"4","sum_with_error","svwls","s_de",8.68774803711195,12.2454028918884,17.7062971377006,25.648416097515,29.6909457138652,56.2626291339245
"5","productsum","reml","s_ie",0.0558333549170139,0.079796784498247,0.0987390204909543,0.113728596609174,0.118521537434849,0.143750361084556
"6","sum_with_error","reml","s_ie",0.081864364373147,0.0954237468458237,0.112650011302629,0.123611564407644,0.13237063150079,0.155597748967917
"7","productsum","svwls","s_ie",0.0109802436571812,0.0170069844209113,0.0564248091960102,0.941907866803845,1.12990354279802,3.59294845852821
"8","sum_with_error","svwls","s_ie",0.0119802514686857,0.019782904044787,0.0670344187324471,0.939245291393748,1.04651907208791,3.63117666864955
"9","product","reml","s_range",0.00445512326405368,0.0188441500606254,0.292707814122711,0.533690967669606,0.407175329810467,0.579190527671875
"10","productsum","reml","s_range",0.495068514816122,0.610396470354301,0.719943792455154,0.769095853892004,0.851935318077703,1.0575143608669
"11","sum_with_error","reml","s_range",0.570182618242897,0.651390364283338,0.752451911234831,0.783853148321066,0.871003047611168,1.02585360868208
"12","product","svwls","s_range",0.315142348143774,0.5939985415878,1.55064494836643,2.23847171999829,4.3473319457511,4.82615902694739
"13","productsum","svwls","s_range",0.228861984540836,0.357360374154945,0.681316422534173,1.45826340112791,1.91765299707126,4.49773084005423
"14","sum_with_error","svwls","s_range",0.230412517629936,0.358671608111994,0.670506141812664,1.44216229306847,1.89337739555314,4.48383894813896
"15","product","reml","st_de",11.9714025411637,14.299529497662,17.827796806182,18.856577618999,22.2573427944523,26.8391373400502
"16","productsum","reml","st_de",0.0187344957715499,0.0494925553917089,0.0670556558109041,0.0623715676775792,0.0792141098245379,0.0913591267899041
"17","product","svwls","st_de",15.8384206917366,20.8503487647382,29.6858892143032,35.4136642192702,43.3124276163981,63.0645982810118
"18","productsum","svwls","st_de",0.00155847295035816,0.00305548915483553,0.053741231626771,1.25791396432349,0.457843372603743,2.39344510388031
"19","productsum","reml","st_ie",1.86693515462178,1.91662975853766,1.97424818839405,1.97440813479681,2.03183927230783,2.08197555205616
"20","sum_with_error","reml","st_ie",1.88750361463319,1.9372983426079,1.99572751611489,1.99564559751469,2.05203615995362,2.10611291630566
"21","productsum","svwls","st_ie",1.09220577964817,1.55308045255497,1.91733632156331,1.93571665043281,2.25783245057429,2.76627028749346
"22","sum_with_error","svwls","st_ie",1.10072294265663,1.57716143275876,1.93572702162432,1.96515785015808,2.30169363080091,2.82059188897223
"23","productsum","reml","t_de",6.36846332692704,7.56203765534028,9.05912880360625,9.52439224054451,10.9113289663192,12.9664732456995
"24","sum_with_error","reml","t_de",6.37851133109572,7.4671321679072,8.99489813650108,9.22461267888215,10.554748606101,12.3106395251681
"25","productsum","svwls","t_de",1.79871229188465,4.97270945915373,10.1461365987126,14.5301220579562,19.2573302133781,32.007492450285
"26","sum_with_error","svwls","t_de",2.40207815819257,5.3403606717072,10.7601098072414,15.5378135251314,20.0603505595037,35.1236368204659
"27","productsum","reml","t_ie",0.0233401791959195,0.0529011635961503,0.0825151447087567,0.0859087929839546,0.109736741633285,0.144068595312585
"28","sum_with_error","reml","t_ie",0.0468759105730945,0.0647167647018469,0.089534790214819,0.0942322407569576,0.118217694429844,0.149341976669069
"29","productsum","svwls","t_ie",0.00564792422365952,0.0158495771696544,0.057527374815768,0.317320391948235,0.464556902511468,1.03519716117938
"30","sum_with_error","svwls","t_ie",0.00737211397949099,0.0192667269965757,0.07646724482514,0.318411505523539,0.449897446534402,0.984392903520174
"31","product","reml","t_range",0.684290998549923,1.28765324871936,2.27730768838087,2.3259113421925,3.53065223396469,3.95455586050932
"32","productsum","reml","t_range",0.475251791367855,0.498937262964595,0.504011761027876,0.591818002703538,0.641961355479322,0.787868430657481
"33","sum_with_error","reml","t_range",0.47113194821424,0.498798971423882,0.502672435188376,0.567658408126326,0.630898452316876,0.766019951156712
"34","product","svwls","t_range",0.594242764155783,1.00066069797703,1.69503430103226,2.08627784789847,3.46848884943034,3.9963557952224
"35","productsum","svwls","t_range",0.34079182298209,0.460380170758469,0.655210733382922,1.20560568587789,1.59544663877016,3.31907057120731
"36","sum_with_error","svwls","t_range",0.320666866324901,0.446178450162901,0.609778683212457,1.15304166263235,1.51086003700676,3.11102653051301
"37","product","reml","v_s",0.000911051194400645,0.000911051194400645,0.00145314352774578,0.0517550982534437,0.00912758514059294,0.0748918373500426
"38","product","svwls","v_s",0.000911051194400645,0.000911051194400645,0.00118301357021725,0.0626233249860194,0.093432262626895,0.207910409633464
"39","product","reml","v_t",0.0840099953671047,0.12122851921915,0.168713554502475,0.172764376386371,0.216024470757037,0.264810298753519
"40","product","svwls","v_t",0.000911051194400645,0.0276626994338024,0.0598151341395984,0.0753130332893036,0.109111081554142,0.164455209976344
