"","stcov","estmethod","covparam","lowq","q1","median_result","mean_result","q3","highq"
"1","productsum","reml","s_de",2.60709056697371,3.23193535096829,3.87314476546312,4.01753079684991,4.583882567395,5.4655106444989
"2","sum_with_error","reml","s_de",3.52532370572365,4.30861791487975,5.32452920845155,6.38154996391104,6.66242754530913,9.31909375986727
"3","productsum","svwls","s_de",0.00551235825388909,0.224398683888233,1.88868375933393,4.09136074645238,5.46101605639629,10.7843074532311
"4","sum_with_error","svwls","s_de",3.39122934377084,7.37488168690052,11.6835704317547,14.9361315567804,18.0202482758499,30.5509881169175
"5","productsum","reml","s_ie",2.73466755711911,3.39810819969519,4.03421428680903,4.14835966834501,4.80578868366358,5.66890070089492
"6","sum_with_error","reml","s_ie",3.50111793474767,4.44936740740865,5.34314030514396,5.38299057224685,6.29681375784902,7.41462735774118
"7","productsum","svwls","s_ie",0.0120670758959101,0.712221609065167,2.81593207087748,3.12912946164929,4.91339792263491,6.81586341326836
"8","sum_with_error","svwls","s_ie",0.0166331333169838,0.967894484600536,3.54398839920635,3.83011751352039,5.97402827931134,8.07169801766347
"9","product","reml","s_range",2.36775561844567,3.43342347024843,4.18287645893293,3.90535164821512,4.57622846646751,4.83220529266884
"10","productsum","reml","s_range",0.527559120497351,0.62425731532066,0.720084892434354,0.725674227098146,0.805136295266345,0.907506364325035
"11","sum_with_error","reml","s_range",0.62981238901567,0.753487760430347,0.875634204596249,0.961156700287277,1.02896865509547,1.27775847859502
"12","product","svwls","s_range",0.544247108666481,1.26062456976977,2.29083564102964,2.59981749273626,4.27622120440882,4.79522883531346
"13","productsum","svwls","s_range",0.192552574284568,0.333839276668814,0.612012537958335,1.08798640213949,1.28555518477494,3.02444990340184
"14","sum_with_error","svwls","s_range",0.213521498503429,0.383525346920656,0.872780400151794,1.61715515909168,2.65118110448559,4.4406512241332
"15","product","reml","st_de",20.9177631801802,23.4035610437705,27.0730932823991,29.5238441228796,34.1387998640495,41.1004973700821
"16","productsum","reml","st_de",8.22553638133627,9.03714108912817,10.0011560247971,10.187525172406,11.1193492747597,12.3263250465833
"17","product","svwls","st_de",23.4628815253422,26.6866263552139,31.3330339852103,33.4894203808216,37.7747912429786,45.6736021084817
"18","productsum","svwls","st_de",5.08742183333215,7.37752285215898,11.0160864729509,13.3691206522551,15.9354871375549,23.057812302448
"19","productsum","reml","st_ie",3.71996161550034,3.84896121096372,3.99260109153249,3.99312144124857,4.13372730551205,4.26678823669473
"20","sum_with_error","reml","st_ie",7.75490333628546,8.23423862264348,8.88240495683372,9.02856248037453,9.67113581191537,10.5191178196309
"21","productsum","svwls","st_ie",3.33359288410085,3.88920162482516,4.50667656384322,4.75444380366525,5.41292743039984,6.46375318565215
"22","sum_with_error","svwls","st_ie",6.07244407164797,6.59370490493789,7.14757324902345,7.20091472097204,7.7479251582441,8.42125681524721
"23","productsum","reml","t_de",2.49067694724993,3.14148035754629,3.77383393712485,3.97736825289248,4.60483423867647,5.47326609865816
"24","sum_with_error","reml","t_de",2.61441424713876,3.28429142774544,4.09930250485016,4.77920997756254,5.11191083969889,6.76351563838908
"25","productsum","svwls","t_de",0.00517788648190689,0.369720793185264,2.26463238989609,5.3039137368622,6.43810315813579,12.7524706185603
"26","sum_with_error","svwls","t_de",2.48123787297916,4.38474855653105,7.94869918338238,14.2541401375022,16.7449165692407,33.7520777930023
"27","productsum","reml","t_ie",2.65302040445418,3.28270237252708,3.98531021478925,4.03149154879072,4.71912040602003,5.41674480292806
"28","sum_with_error","reml","t_ie",2.61899754308533,3.23179818299428,3.99009051756894,4.03209244618468,4.77920806438248,5.57041142959206
"29","productsum","svwls","t_ie",1.38764757301044,2.59380486039182,3.58025916694195,3.53073507978013,4.56014693377154,5.4838663128952
"30","sum_with_error","svwls","t_ie",1.36541445501931,2.34407331370915,3.37331655289166,3.35381284058525,4.36295971434159,5.36337605596449
"31","product","reml","t_range",0.501219247574431,0.520574946044838,0.679818049154635,0.973349747389912,1.34925744722788,1.68807432672295
"32","productsum","reml","t_range",0.481276530534143,0.492250711867644,0.500062809184864,0.507780405388659,0.50955641166558,0.525250002820258
"33","sum_with_error","reml","t_range",0.41116927347596,0.483336101693456,0.55885946699367,0.594062680188656,0.659821570321298,0.768908532774609
"34","product","svwls","t_range",0.536739532598223,0.715421295272924,0.91050985099484,1.14145694969613,1.24952186900426,1.99643345677022
"35","productsum","svwls","t_range",0.33799886548996,0.441176637857976,0.547736721872694,0.862641090883582,0.938727322843931,1.65276517308814
"36","sum_with_error","svwls","t_range",0.302546812927383,0.41530276218973,0.496376945194178,1.08566542708003,1.31976601459857,3.14772928984466
"37","product","reml","v_s",0.407286296945021,0.442222635505378,0.481651914608444,0.482268062411052,0.520710822480716,0.561728730779513
"38","product","svwls","v_s",0.0739702906071689,0.163328835448743,0.278343119191206,0.289465265509546,0.401623438348866,0.510339910190715
"39","product","reml","v_t",0.176227109291555,0.209820856757703,0.248110733664283,0.246639495342547,0.284548212267385,0.315674985056021
"40","product","svwls","v_t",0.1431268779503,0.19253594820111,0.259840048321804,0.259440294890984,0.320103501900531,0.378104753654132
