"","stcov","estmethod","beta","typeone","mse","bias"
"1","ind","ols","beta1",0.6565,0.525017659301495,0.00420424016903254
"2","ind","ols","beta2",0.52,0.374713747799413,-0.00897834549622586
"3","ind","ols","beta3",0.051,0.116576867001917,0.00103520247510044
"4","product","reml","beta1",0.066,0.402099873983264,0.00577720511040499
"5","product","reml","beta2",0.181,0.296704648532839,-0.0115762887959705
"6","product","reml","beta3",0.0485,0.035267221444364,-0.000661972497957224
"7","product","svwls","beta1",0.0925,0.395015491473755,0.00807088253549757
"8","product","svwls","beta2",0.147,0.29821327367516,-0.0124311176832454
"9","product","svwls","beta3",0.143,0.0395388670034529,-0.000446830947127866
"10","productsum","reml","beta1",0.0605,0.384824683089478,0.0060518178147057
"11","productsum","reml","beta2",0.067,0.294081446748447,-0.0114940804093452
"12","productsum","reml","beta3",0.047,0.0344459516302006,-0.000530958950841184
"13","productsum","svwls","beta1",0.0795,0.405065203621749,0.00758102898208869
"14","productsum","svwls","beta2",0.107,0.299779142510446,-0.00919580100052365
"15","productsum","svwls","beta3",0.0985,0.0372164513943045,-0.000596835048839369
"16","sum_with_error","reml","beta1",0.064,0.390641440242402,0.00619133509359897
"17","sum_with_error","reml","beta2",0.068,0.295053906652487,-0.0113524002023208
"18","sum_with_error","reml","beta3",0.044,0.0412967062520828,-0.00116700434241548
"19","sum_with_error","svwls","beta1",0.0725,0.405716753690765,0.00775650160357834
"20","sum_with_error","svwls","beta2",0.0975,0.298680516419966,-0.0101461190149145
"21","sum_with_error","svwls","beta3",0.084,0.041723304083824,-0.00121094934833154
