"","stcov","estmethod","quantity","mean_result"
"1","product","reml","convergence",0.035
"2","productsum","reml","convergence",0.035
"3","sum_with_error","reml","convergence",0.005
"4","product","svwls","convergence",0
"5","productsum","svwls","convergence",0
"6","sum_with_error","svwls","convergence",0.005
"7","product","reml","counts",77.339
"8","productsum","reml","counts",139.3625
"9","sum_with_error","reml","counts",61.385
"10","product","svwls","counts",642.861
"11","productsum","svwls","counts",1566.287
"12","sum_with_error","svwls","counts",1219.949
"13","product","reml","optim_seconds",25.3097465940714
"14","productsum","reml","optim_seconds",186.386770863771
"15","sum_with_error","reml","optim_seconds",19.6714951663017
"16","product","svwls","optim_seconds",0.252511051416397
"17","productsum","svwls","optim_seconds",0.671706649422646
"18","sum_with_error","svwls","optim_seconds",0.509469106197357
"19","product","reml","stemp_seconds",0
"20","productsum","reml","stemp_seconds",0
"21","sum_with_error","reml","stemp_seconds",0
"22","product","svwls","stemp_seconds",20.6742289751371
"23","productsum","svwls","stemp_seconds",20.6742289751371
"24","sum_with_error","svwls","stemp_seconds",20.6742289751371
"25","product","reml","value",5485.0824450387
"26","productsum","reml","value",5195.43862758065
"27","sum_with_error","reml","value",5404.1548111928
"28","product","svwls","value",18996.3846357585
"29","productsum","svwls","value",17489.7031874294
"30","sum_with_error","svwls","value",17543.7712512462
